routine_name,habit_title,short_description,intensity
Gut Reset & Motility Reset Protocol,Fiber Gradient,Gradual fiber increase,lite
Gut Reset & Motility Reset Protocol,Squatty Position,Optimal elimination posture,lite
Hydration & Energy Reset,Electrolytes (AM),Mineral-first hydration for energy and focus.,lite
Hydration & Energy Reset,Water Spacing Rule,Earlier-day hydration supports digestion and sleep.,lite
Hydration & Energy Reset,Morning Light (3 Min),Natural light anchors your circadian clock.,lite
Hydration & Energy Reset,5-Minute Post-Meal Walk,Light movement after meals aids glucose control.,lite
Hydration & Energy Reset,2-Minute Breath Reset,Downshifts the nervous system from alert to settle.,lite
Hydration & Energy Reset,2-Minute Journal Check-In,"Quick reflection reveals patterns in sleep, hydration, mood.",lite
Lymphatic & Circulatory Reset Protocol,Dry Brushing,Stimulate lymph flow,lite
Lymphatic & Circulatory Reset Protocol,Rebounding,Bounce for lymph movement,lite
Lymphatic & Circulatory Reset Protocol,Lymph-Moving Herbs,Herbal lymph support,lite
Lymphatic & Circulatory Reset Protocol,Self Lymph Massage,Manual lymph circulation support,lite
Lymphatic & Circulatory Reset Protocol,Contrast Showers,Hot/cold for circulation,intense
Mineral Balance Protocol,Activated Charcoal Binder,Bind mobilized metals,intense
Mineral Balance Protocol,Cilantro Mobilizer,Mobilize metals from tissue,intense
Mineral Balance Protocol,Chlorella Support,Algae for metal binding,intense
Mineral Balance Protocol,Infrared Sauna,Sweat therapy for reset,intense
Mineral Balance Protocol,Enhanced Hydration,Flush mobilized buildup,lite
Mineral Balance Protocol,Liver Support Herbs,Support liver processing,lite
Mineral Balance Protocol,Reset Rest Days,Allow body to process,intense
Reset Skin & Reduce Breakouts,Dry Brushing (AM),Skin brushing for lymph,lite
Reset Skin & Reduce Breakouts,Daily Light Greens,Chlorophyll for resetting,lite
